2025-11-12 18:47:42 [INFO] 🌦️ Hourly weather fetch script started (IST).
2025-11-12 20:42:18 [INFO] Fetched data for Ranchi at 2025-11-13 02:12:18.676405+05:30 (IST).
2025-11-12 20:42:18 [INFO] Fetched data for Panaji at 2025-11-13 02:12:18.701028+05:30 (IST).
2025-11-12 20:42:18 [INFO] Fetched data for Port Blair at 2025-11-13 02:12:18.704818+05:30 (IST).
2025-11-12 20:42:18 [INFO] Fetched data for Puducherry at 2025-11-13 02:12:18.724724+05:30 (IST).
2025-11-12 20:42:18 [INFO] Fetched data for Kavaratti at 2025-11-13 02:12:18.733592+05:30 (IST).
2025-11-12 20:42:18 [INFO] Fetched data for Srinagar at 2025-11-13 02:12:18.737954+05:30 (IST).
2025-11-12 20:42:19 [INFO] Fetched data for Leh at 2025-11-13 02:12:19.578122+05:30 (IST).
2025-11-12 20:42:22 [INFO] Inserted 31 records successfully at 2025-11-13 02:12:22.005760+05:30 (IST).
2025-11-12 20:42:22 [INFO] Script completed successfully (IST).
2025-11-12 21:38:39 [INFO] 🌦️ Hourly weather fetch script started (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Kolkata at 2025-11-13 03:08:40.048671+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Chennai at 2025-11-13 03:08:40.049739+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Hyderabad at 2025-11-13 03:08:40.053882+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Delhi at 2025-11-13 03:08:40.055659+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Mumbai at 2025-11-13 03:08:40.058871+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Bengaluru at 2025-11-13 03:08:40.060808+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Jaipur at 2025-11-13 03:08:40.818344+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Lucknow at 2025-11-13 03:08:40.820549+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Bhopal at 2025-11-13 03:08:40.823144+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Gandhinagar at 2025-11-13 03:08:40.833849+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Chandigarh at 2025-11-13 03:08:40.840798+05:30 (IST).
2025-11-12 21:38:40 [INFO] Fetched data for Patna at 2025-11-13 03:08:40.852012+05:30 (IST).
2025-11-12 21:38:41 [INFO] Fetched data for Bhubaneswar at 2025-11-13 03:08:41.583698+05:30 (IST).
2025-11-12 21:38:41 [INFO] Fetched data for Thiruvananthapuram at 2025-11-13 03:08:41.593625+05:30 (IST).
2025-11-12 21:38:41 [INFO] Fetched data for Dispur at 2025-11-13 03:08:41.599218+05:30 (IST).
2025-11-12 21:38:41 [INFO] Fetched data for Imphal at 2025-11-13 03:08:41.603210+05:30 (IST).
2025-11-12 21:38:41 [INFO] Fetched data for Aizawl at 2025-11-13 03:08:41.610933+05:30 (IST).
2025-11-12 21:38:41 [INFO] Fetched data for Agartala at 2025-11-13 03:08:41.613256+05:30 (IST).
2025-11-12 21:38:42 [INFO] Fetched data for Shillong at 2025-11-13 03:08:42.343694+05:30 (IST).
2025-11-12 21:38:42 [INFO] Fetched data for Gangtok at 2025-11-13 03:08:42.361963+05:30 (IST).
2025-11-12 21:38:42 [INFO] Fetched data for Kohima at 2025-11-13 03:08:42.364910+05:30 (IST).
2025-11-12 21:38:42 [INFO] Fetched data for Itanagar at 2025-11-13 03:08:42.366078+05:30 (IST).
2025-11-12 21:38:42 [INFO] Fetched data for Dehradun at 2025-11-13 03:08:42.371110+05:30 (IST).
2025-11-12 21:38:42 [INFO] Fetched data for Raipur at 2025-11-13 03:08:42.374155+05:30 (IST).
2025-11-12 21:38:43 [INFO] Fetched data for Ranchi at 2025-11-13 03:08:43.112615+05:30 (IST).
2025-11-12 21:38:43 [INFO] Fetched data for Panaji at 2025-11-13 03:08:43.130601+05:30 (IST).
2025-11-12 21:38:43 [INFO] Fetched data for Kavaratti at 2025-11-13 03:08:43.139077+05:30 (IST).
2025-11-12 21:38:43 [INFO] Fetched data for Srinagar at 2025-11-13 03:08:43.144533+05:30 (IST).
2025-11-12 21:38:43 [INFO] Fetched data for Port Blair at 2025-11-13 03:08:43.147539+05:30 (IST).
2025-11-12 21:38:43 [INFO] Fetched data for Puducherry at 2025-11-13 03:08:43.166027+05:30 (IST).
2025-11-12 21:38:43 [INFO] Fetched data for Leh at 2025-11-13 03:08:43.882613+05:30 (IST).
2025-11-12 21:38:46 [INFO] Inserted 31 records successfully at 2025-11-13 03:08:46.500189+05:30 (IST).
2025-11-12 21:38:46 [INFO] Script completed successfully (IST).
